age;ProbaMariage
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0,095033853
26;0,095033853
27;0,095033853
28;0,095033853
29;0,095033853
30;0,095033853
31;0,095033853
32;0,095033853
33;0,095033853
34;0,095033853
35;0,095033853
36;0,095033853
37;0,095033853
38;0,095033853
39;0,095033853
40;0,095033853
41;0,095033853
42;0,095033853
43;0,095033853
44;0,095033853
45;0,095033853
46;0,095033853
47;0,095033853
48;0,095033853
49;0,095033853
50;0,095033853
51;0,095033853
52;0,095033853
53;0,095033853
54;0,095033853
55;0
56;0
57;0
58;0
59;0
60;0
61;0
62;0
63;0
64;0
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;0
82;0
83;0
84;0
85;0
86;0
87;0
88;0
89;0
90;0
