Year;active employees;retired employees;Total Employees;current widows;new widows;spouses of active employees;spouses of retired employees;Total Spouses;children of active employees;children of retired employees;orphans;Total Children
0;66,0;34,0;100,0;25,0;0,0;39,0;25,0;64,0;56,0;29,0;0;85,0
1;65,94626161298667;33,269636218898675;99,21589783188534;24,616222770774858;0,4863825795906841;38,93159684460031;23,839391842039912;62,77098868664022;55,809995442734255;28,976423267784995;0;84,78641871051926
2;65,88883353055702;32,46436773983047;98,3532012703875;24,193688668228493;0,954380759300749;38,858555718624345;22,685554540384082;61,54411025900843;55,78665044499926;28,964370986066093;0;84,75102143106535
3;65,82787017228202;31,5782843710956;97,40615454337762;23,728056332844407;1,4016387176583953;38,78066278633058;21,547366333192954;60,328029119523535;55,77082879399327;28,95229104331643;0;84,7231198373097
4;65,76308695791776;30,606690829466274;96,36977778738404;23,214982388141454;1,8247724091158752;38,69678911627245;20,427034926769114;59,123824043041566;55,75754896788923;28,939792929499422;0;84,69734189738865
5;65,69378827498045;29,546323099531726;95,24011137451217;22,650049472437644;2,223180857285356;38,60637497622039;19,334701465439522;57,94107644165991;55,74551170474822;28,926907789896187;0;84,6724194946444
6;65,61956331635682;28,396577336623533;94,01614065298035;22,029762279515836;2,594584365928726;38,50871917126415;18,270728280809667;56,77944745207381;55,734094567919556;28,913382671865456;0;84,64747723978502
7;65,54006450485154;27,15901937741512;92,69908388226666;21,348852705929435;2,934395833890346;38,403264735395084;17,23430843015175;55,63757316554683;55,72327518381685;28,899044806240692;0;84,62231999005755
8;65,4549172780534;25,83878210758477;91,29369938563818;20,605628651025413;3,2420595195020705;38,289174086441996;16,230929470578083;54,52010355702008;55,712564264442705;28,88384379798501;0;84,59640806242771
9;64,40195564239352;25,40582734601447;89,80778298840798;19,79693862567896;3,51361083710888;38,1659354178023;15,256431400927474;53,42236681872978;55,70150049052138;28,867761132277852;0;84,56926162279923
10;64,30917255650132;23,94431702824862;88,25348958474994;18,92270095414797;3,7466635514426416;38,032584594949235;14,31684428747001;52,34942888241925;55,69038594029998;28,85062573254892;0;84,5410116728489
11;64,209586407635;22,434373536998145;86,64395994463314;17,985573000889335;3,9407876114774445;37,88782368261602;13,41112490816393;51,29894859077996;55,679001309557755;28,83215263137;0;84,51115394092776
12;64,10271751141109;20,89319427735532;84,9959117887664;16,98818207193302;4,096409481750804;37,73099009035564;12,539934182690438;50,27092427304608;55,666949612015244;28,812189095709243;0;84,47913870772449
13;63,987833583343864;19,341353060647187;83,32918664399105;15,93798062581014;4,214031436670628;37,560808659023444;11,705330962890311;49,26613962191375;55,65452281020562;28,790906945111423;0;84,44542975531704
14;62,915290437845144;18,751661103325347;81,66695154117049;14,844648926920968;4,289253848111356;36,49460879460754;11,780442687279015;48,27505148188655;54,643900524177035;29,764666478433842;0;84,40856700261088
15;62,788191096835874;17,24240181701881;80,03059291385469;13,716903590105368;4,326994633487828;36,307733935132404;10,990307590668948;47,29804152580135;54,62830305406222;29,739868565410877;0;84,3681716194731
16;62,65104834117811;15,789612350558928;78,44066069173704;12,567530626149662;4,3304365627869394;36,10437986731109;10,228614877595916;46,332994744907005;54,61084586424609;29,713326535282338;0;84,32417239952842
17;61,56003051530334;15,356842376610997;76,91687289191434;11,409555274634755;4,299998508044652;35,882530091160135;9,490537390206894;45,37306748136703;54,59009679919677;29,684840110257785;0;84,27493690945455
18;58,5813620958066;16,892373652409837;75,47373574821643;10,256459750455306;4,241776776038667;33,9993184176888;10,41839278600526;44,417711203694054;51,592381925320225;32,629066105539394;0;84,22144803085962
19;56,55366419072969;17,56816106713012;74,12182525785981;9,122767229779177;4,161810298965693;31,84710212252943;11,617394294713899;43,46449641724333;49,58643364729659;34,576370214298315;0;84,16280386159491
20;54,52884355973115;18,339561134089664;72,86840469382082;8,024576541540991;4,06625708231853;30,09030356515149;12,421673314139255;42,51197687929074;46,590574488291864;37,5106531502608;0;84,10122763855267
21;52,50728197281561;19,20781602857632;71,71509800139194;6,978268367906565;3,9610450096602623;28,962967359490932;12,597351884831188;41,560319244322116;45,57810672030406;38,45834829104057;0;84,03645501134463
22;52,36375840994455;18,290165914742794;70,65392432468735;5,997838035956568;3,8555881469687354;28,753239980510948;11,856209603368079;40,60944958387903;45,55706954974332;38,41166072881827;0;83,9687302785616
23;50,337073243691414;19,337143052466892;69,6742162961583;5,094066726123709;3,7559736695024113;26,82670706156125;12,830459110431885;39,65716617199314;43,549020556750555;40,34810451167193;0;83,89712506842248
24;46,441386590525845;22,318348235254604;68,75973482578044;4,269021221591746;3,6708029699834746;25,66164941011628;13,046525575579404;38,708174985695685;41,544866894056824;42,27658401156073;0;83,82145090561755
25;45,363843115942075;22,532324487432998;67,89616760337508;3,5301499643125336;3,602199791320811;24,558365306503436;13,203021236681652;37,76138654318509;40,53714585228936;43,20323773909183;0;83,7403835913812
26;45,21591583124112;21,850210328300765;67,06612615954188;2,8772287771536416;3,554623040587313;24,319478244103063;12,498307659377716;36,81778590348078;40,51572236057177;43,13882767418293;0;83,65455003475469
27;41,32639558218991;24,926769181479223;66,25316476366913;2,309815063247715;3,527375932929079;21,73310402283419;14,144898421378418;35,87800244421261;36,541407959594714;47,02188992717049;0;83,56329788676521
28;37,451568778458494;27,99400261625596;65,44557139471445;1,8259447627191052;3,515788619233373;18,760889415699516;16,18042786393669;34,94131727963621;30,588263728724776;52,87781689219732;0;83,4660806209221
29;35,45459932713778;29,175428290776498;64,63002761791428;1,415693713409695;3,5192801849404223;17,642321223339064;16,36640713015807;34,00872835349713;29,586500356517;53,77647535510835;0;83,36297571162535
